Year,CO2(ppmv),CH4,temp,Irish Anomaly,Global Anomaly
-14201,224.86,421.2,-60.09999999999998,,
-14211,225.525,421.6166666666667,-60.24999999999997,,
-14216,226.19,422.0333333333333,-60.14999999999998,,
-14237,221.49,422.45,-60.04999999999998,,
-14244,224.405,422.8666666666667,-59.94999999999999,,
-14258,227.32,423.2833333333333,-60.024999999999984,,
-14263,225.28,423.7,-60.09999999999998,,
-14272,223.24,424.6,-60.174999999999976,,
-14277,221.865,425.5,-60.24999999999997,,
-14290,220.49,426.4,-60.299999999999976,,
-14292,219.525,427.3,-60.34999999999998,,
-14310,218.56,425.79333333333335,-60.399999999999984,,
-14311,216.39,424.2866666666667,-60.44999999999999,,
-14328,214.22,422.78000000000003,-60.64999999999998,,
-14345,213.53,421.2733333333333,-60.849999999999966,,
-14346,212.84,419.76666666666665,-60.58333333333331,,
-14367,214.6,418.26,-60.31666666666664,,
-14379,213.515,416.75333333333333,-60.04999999999998,,
-14387,212.43,415.24666666666667,-60.48333333333331,,
-14404,214.83,413.74,-60.916666666666636,,
-14414,213.02,412.23333333333335,-61.349999999999966,,
-14424,211.21,410.7266666666667,-61.08333333333331,,
-14441,209.51,409.21999999999997,-60.81666666666664,,
-14449,211.23,407.7133333333333,-60.54999999999998,,
-14460,212.95,406.20666666666665,-60.57499999999998,,
-14480,212.37,404.7,-60.59999999999998,,
-14481,211.79,405.075,-60.62499999999998,,
-14483,214.49,405.45,-60.64999999999998,,
-14508,217.19,405.825,-60.89999999999998,,
-14519,215.565,406.2,-61.14999999999998,,
-14522,213.94,406.575,-61.34999999999998,,
-14555,210.945,406.95,-61.54999999999998,,
-14559,207.95,407.325,-61.499999999999986,,
-14591,208.3,407.7,-61.44999999999999,,
-14603,208.65,408.075,-60.999999999999986,,
-14627,208.555,408.45,-60.54999999999998,,
-14640,208.46,408.825,-60.616666666666646,,
-14654,209.398,409.2,-60.68333333333331,,
-14662,210.336,406.67621280000003,-60.74999999999997,,
-14667,211.274,404.1524256,-60.74999999999997,,
-14698,212.21200000000002,404.6132672,-60.74999999999997,,
-14705,213.15,405.07410880000003,-60.79999999999997,,
-14734,212.18333333333334,405.5349504,-60.849999999999966,,
-14770,211.21666666666667,405.995792,-62.04999999999998,,
-14783,210.25,406.45663360000003,-61.54999999999998,,
-14806,208.67666666666668,406.9174752,-61.04999999999998,,
-14843,207.10333333333332,407.3783168,-60.74999999999997,,
-14847,205.53,407.83915840000003,-60.98333333333331,,
-14876,205.462,408.3,-61.21666666666665,,
-14879,205.394,394.8,-61.44999999999999,,
-14882,205.326,381.3,-61.44999999999999,,
-14915,205.258,382.8666666666667,-61.44999999999999,,
-14919,205.19,384.43333333333334,-61.39999999999998,,
-14953,204.06,386.0,-61.349999999999966,,
-14978,202.93,387.56666666666666,-61.449999999999974,,
-14990,203.39333333333335,389.1333333333333,-61.54999999999998,,
-15028,203.85666666666665,390.7,-62.74999999999997,,
-15044,204.32,392.26666666666665,-62.199999999999974,,
-15067,203.876,393.8333333333333,-61.64999999999998,,
-15095,203.432,395.4,-61.84999999999998,,
-15107,202.988,392.1199243,-62.04999999999998,,
-15124,202.54399999999998,388.8398486,-61.94999999999998,,
-15141,202.1,387.37819455,-61.84999999999997,,
-15146,200.94333333333333,385.9165405,-61.74999999999997,,
-15186,199.78666666666666,384.45488645,-61.44999999999999,,
-15213,198.63,382.9932324,-62.44999999999999,,
-15225,198.51666666666665,381.53157835,-63.44999999999999,,
