year,data_mean_global,data_mean_nh,data_mean_sh
2397,2082.73,2082.73012,2082.729879
2398,2081.97,2081.97012,2081.969879
2399,2081.23,2081.23012,2081.229879
2400,2080.48,2080.48012,2080.479879
2401,2079.7,2079.70012,2079.699879
2402,2078.95,2078.95012,2078.949879
2403,2078.22,2078.22012,2078.219879
2404,2077.46,2077.46012,2077.459879
2405,2076.69,2076.69012,2076.689879
2406,2075.94,2075.94012,2075.939879
2407,2075.19,2075.19012,2075.189879
2408,2074.44,2074.44012,2074.439879
2409,2073.69,2073.69012,2073.689879
2410,2072.95,2072.95012,2072.949879
2411,2072.2,2072.20012,2072.199879
2412,2071.44,2071.44012,2071.439879
2413,2070.71,2070.71012,2070.709879
2414,2069.97,2069.97012,2069.969879
2415,2069.22,2069.22012,2069.219879
2416,2068.48,2068.48012,2068.479879
2417,2067.74,2067.74012,2067.739879
2418,2067,2067.00012,2066.999879
2419,2066.26,2066.26012,2066.259879
2420,2065.53,2065.53012,2065.529879
2421,2064.79,2064.79012,2064.789879
2422,2064.05,2064.05012,2064.049879
2423,2063.32,2063.32012,2063.319879
2424,2062.59,2062.59012,2062.589879
2425,2061.86,2061.86012,2061.859879
2426,2061.13,2061.13012,2061.129879
2427,2060.4,2060.40012,2060.399879
2428,2059.66,2059.66012,2059.659879
2429,2058.93,2058.93012,2058.929879
2430,2058.21,2058.21012,2058.209879
2431,2057.49,2057.49012,2057.489879
2432,2056.77,2056.77012,2056.769879
2433,2056.05,2056.05012,2056.049879
2434,2055.32,2055.32012,2055.319879
2435,2054.6,2054.60012,2054.599879
2436,2053.87,2053.87012,2053.869879
2437,2053.14,2053.14012,2053.139879
2438,2052.42,2052.42012,2052.419879
2439,2051.7,2051.70012,2051.699879
2440,2050.98,2050.98012,2050.979879
2441,2050.26,2050.26012,2050.259879
2442,2049.55,2049.55012,2049.549879
2443,2048.83,2048.83012,2048.829879
2444,2048.12,2048.12012,2048.119879
2445,2047.41,2047.41012,2047.409879
2446,2046.7,2046.70012,2046.699879
2447,2045.98,2045.98012,2045.979879
2448,2045.28,2045.28012,2045.279879
2449,2044.58,2044.58012,2044.579879
2450,2043.88,2043.88012,2043.879879
2451,2043.17,2043.17012,2043.169879
2452,2042.46,2042.46012,2042.459879
2453,2041.75,2041.75012,2041.749879
2454,2041.05,2041.05012,2041.049879
2455,2040.36,2040.36012,2040.359879
2456,2039.65,2039.65012,2039.649879
2457,2038.94,2038.94012,2038.939879
2458,2038.24,2038.24012,2038.239879
2459,2037.55,2037.55012,2037.549879
2460,2036.86,2036.86012,2036.859879
2461,2036.15,2036.15012,2036.149879
2462,2035.45,2035.45012,2035.449879
2463,2034.75,2034.75012,2034.749879
2464,2034.06,2034.06012,2034.059879
2465,2033.37,2033.37012,2033.369879
2466,2032.69,2032.69012,2032.689879
2467,2032,2032.00012,2031.999879
2468,2031.3,2031.30012,2031.299879
2469,2030.6,2030.60012,2030.599879
2470,2029.92,2029.92012,2029.919879
2471,2029.24,2029.24012,2029.239879
2472,2028.55,2028.55012,2028.549879
2473,2027.85,2027.85012,2027.849879
2474,2027.16,2027.16012,2027.159879
2475,2026.47,2026.47012,2026.469879
2476,2025.79,2025.79012,2025.789879
2477,2025.11,2025.11012,2025.109879
2478,2024.43,2024.43012,2024.429879
2479,2023.74,2023.74012,2023.739879
2480,2023.07,2023.07012,2023.069879
2481,2022.42,2022.42012,2022.419879
2482,2021.72,2021.72012,2021.719879
