year,data_mean_global,data_mean_nh,data_mean_sh
2368,870.714904,908.6200628,832.8097452
2369,870.7149041,908.6200624,832.8097458
2370,870.7159039,908.6210617,832.8107462
2371,870.7169041,908.6220621,832.8117462
2372,870.7189042,908.6240612,832.8137472
2373,870.721904,908.6270607,832.8167474
2374,870.7249043,908.6300611,832.8197475
2375,870.7289041,908.63406,832.8237481
2376,870.7329044,908.6380607,832.8277481
2377,870.737904,908.6430593,832.8327486
2378,870.7419043,908.6470609,832.8367477
2379,870.7469044,908.6520595,832.8417493
2380,870.7529041,908.6580592,832.847749
2381,870.7579044,908.6630603,832.8527486
2382,870.7639042,908.6690589,832.8587496
2383,870.7699043,908.6750596,832.864749
2384,870.7759042,908.6810591,832.8707493
2385,870.7819045,908.6870596,832.8767494
2386,870.7889041,908.6940583,832.8837499
2387,870.7949045,908.70006,832.889749
2388,870.8019041,908.707058,832.8967502
2389,870.8079045,908.7130602,832.9027488
2390,870.8149041,908.7200578,832.9097503
2391,870.8209045,908.7260603,832.9157486
2392,870.8279043,908.7330579,832.9227506
2393,870.8349044,908.7400594,832.9297493
2394,870.8419041,908.7470582,832.9367501
2395,870.8479044,908.7530601,832.9427488
2396,870.8549043,908.760058,832.9497506
2397,870.8619044,908.7670594,832.9567493
2398,870.8689041,908.7740582,832.9637501
2399,870.8749044,908.7800601,832.9697487
2400,870.8819042,908.7870589,832.9767496
2401,870.8889044,908.7940586,832.9837503
2402,870.8959041,908.801059,832.9907492
2403,870.9019044,908.8070594,832.9967495
2404,870.9089044,908.8140586,833.0037501
2405,870.9159042,908.8210589,833.0107495
2406,870.9219044,908.8270596,833.0167491
2407,870.9289045,908.8340583,833.0237506
2408,870.935904,908.8410592,833.0307487
2409,870.9419046,908.847059,833.0367502
2410,870.948904,908.854059,833.0437489
2411,870.9549046,908.8600592,833.04975
2412,870.961904,908.8670589,833.0567492
2413,870.9679045,908.8730593,833.0627497
2414,870.9749042,908.8800586,833.0697497
2415,870.9809042,908.8860596,833.0757488
2416,870.9869045,908.8920592,833.0817498
2417,870.9939041,908.8990587,833.0887495
2418,870.9999043,908.9050595,833.0947491
2419,871.0059043,908.9110592,833.1007494
2420,871.0119042,908.9170594,833.1067489
2421,871.0179045,908.9230593,833.1127498
2422,871.0249041,908.9300587,833.1197495
2423,871.0309043,908.9360595,833.1257491
2424,871.0369043,908.9420593,833.1317493
2425,871.0429043,908.9480593,833.1377492
2426,871.0489043,908.9540593,833.1437493
2427,871.0549042,908.9600593,833.1497491
2428,871.0609044,908.9660593,833.1557495
2429,871.066904,908.9720593,833.1617487
2430,871.0719044,908.97706,833.1667489
2431,871.0779042,908.9830591,833.1727494
2432,871.0839042,908.9890594,833.1787491
2433,871.0899044,908.9950593,833.1847495
2434,871.095904,909.0010593,833.1907486
2435,871.1009045,909.00606,833.195749
2436,871.106904,909.0120591,833.2017489
2437,871.1119044,909.0170601,833.2067487
2438,871.1179043,909.0230591,833.2127496
2439,871.123904,909.0290593,833.2187487
2440,871.1289045,909.0340601,833.2237489
2441,871.1349041,909.040059,833.2297491
2442,871.1399042,909.0450601,833.2347483
2443,871.1449045,909.0500598,833.2397491
2444,871.150904,909.0560591,833.2457489
2445,871.1559045,909.0610602,833.2507489
2446,871.161904,909.0670589,833.2567491
2447,871.1669043,909.0720601,833.2617484
2448,871.1719042,909.0770597,833.2667487
2449,871.1769041,909.0820599,833.2717484
2450,871.1819045,909.0870599,833.276749
2451,871.187904,909.093059,833.2827491
2452,871.1929043,909.0980601,833.2877484
2453,871.1979042,909.1030597,833.2927487
2454,871.2029042,909.1080599,833.2977486
2455,871.2079042,909.1130598,833.3027486
2456,871.2129042,909.1180598,833.3077486
2457,871.2179042,909.1230598,833.3127486
2458,871.2229042,909.1280598,833.3177486
2459,871.2279043,909.1330599,833.3227487
2460,871.232904,909.1380597,833.3277483
2461,871.2369044,909.1420607,833.331748
2462,871.2419041,909.1470595,833.3367488
2463,871.2469043,909.15206,833.3417485
2464,871.251904,909.1570596,833.3467484
2465,871.2559044,909.1610608,833.350748
2466,871.2609042,909.1660595,833.355749
2467,871.265904,909.1710599,833.3607482
2468,871.2699043,909.1750606,833.3647481
2469,871.2749042,909.1800595,833.3697489
2470,871.279904,909.1850598,833.3747482
2471,871.2839044,909.1890607,833.3787481
2472,871.288904,909.1940593,833.3837487
2473,871.2929042,909.1980608,833.3877475
2474,871.2969043,909.2020603,833.3917484
2475,871.301904,909.2070595,833.3967485
2476,871.3059044,909.2110609,833.4007479
2477,871.310904,909.2160592,833.4057488
2478,871.3149042,909.2200609,833.4097474
2479,871.3189043,909.2240602,833.4137485
2480,871.323904,909.2290596,833.4187485
2481,871.3279042,909.2330607,833.4227477
2482,871.3319041,909.2370601,833.4267482
2483,871.3359042,909.2410605,833.4307478
2484,871.3399042,909.2450602,833.4347481
2485,871.3439041,909.2490604,833.4387479
2486,871.3479043,909.2530605,833.4427482
2487,871.352904,909.2580594,833.4477487
2488,871.3569042,909.2620609,833.4517475
2489,871.3609042,909.26606,833.4557484
2490,871.364904,909.2700604,833.4597475
2491,871.3679043,909.2730611,833.4627474
2492,871.3719042,909.2770599,833.4667484
2493,871.3759042,909.2810607,833.4707477
2494,871.3799042,909.2850601,833.4747482
2495,871.3839042,909.2890606,833.4787478
2496,871.387904,909.29306,833.482748
2497,871.3909042,909.2960615,833.485747
2498,871.3949042,909.3000596,833.4897488
2499,871.3989038,909.3040606,833.493747
2500,871.4009041,909.3060619,833.4957463
