#,VARIABLE,ORDER,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,
site_code,year,month,day,hour,minute,second,datetime,time_decimal,midpoint_time,value,value_std_dev,nvalue,latitude,longitude,altitude,elevation,intake_height,qcflag
SPO,1982,1,1,0,0,0,1982-01-01T00:00:00Z,1982,380005200,339.69,0.05,13,-89.98,-24.8,2823.5,2810,13.5,...
SPO,1982,2,1,0,0,0,1982-02-01T00:00:00Z,1982.084932,382683600,339.62,0.05,28,-89.98,-24.8,2823.5,2810,13.5,...
SPO,1982,3,1,0,0,0,1982-03-01T00:00:00Z,1982.161644,385102800,339.53,0.05,31,-89.98,-24.8,2823.5,2810,13.5,...
SPO,1982,4,1,0,0,0,1982-04-01T00:00:00Z,1982.246575,387781200,339.1,0.21,30,-89.98,-24.8,2823.5,2810,13.5,...
SPO,1982,5,1,0,0,0,1982-05-01T00:00:00Z,1982.328767,390373200,339.32,0.07,31,-89.98,-24.8,2823.5,2810,13.5,...
SPO,1982,6,1,0,0,0,1982-06-01T00:00:00Z,1982.413699,393051600,339.35,0.05,22,-89.98,-24.8,2823.5,2810,13.5,...
SPO,1982,7,1,0,0,0,1982-07-01T00:00:00Z,1982.49589,395643600,339.74,0.08,11,-89.98,-24.8,2823.5,2810,13.5,...
SPO,1982,8,1,0,0,0,1982-08-01T00:00:00Z,1982.580822,398322000,340.05,0.13,31,-89.98,-24.8,2823.5,2810,13.5,...
SPO,1982,9,1,0,0,0,1982-09-01T00:00:00Z,1982.665753,401000400,340.31,0.05,29,-89.98,-24.8,2823.5,2810,13.5,...
SPO,1982,10,1,0,0,0,1982-10-01T00:00:00Z,1982.747945,403592400,340.25,0.09,30,-89.98,-24.8,2823.5,2810,13.5,...
SPO,1982,11,1,0,0,0,1982-11-01T00:00:00Z,1982.832877,406270800,340.01,0.13,30,-89.98,-24.8,2823.5,2810,13.5,...
SPO,1982,12,1,0,0,0,1982-12-01T00:00:00Z,1982.915068,408862800,339.76,0.11,30,-89.98,-24.8,2823.5,2810,13.5,...
SPO,1983,1,1,0,0,0,1983-01-01T00:00:00Z,1983,411541200,339.56,0.06,31,-89.98,-24.8,2823.5,2810,13.5,...
SPO,1983,2,1,0,0,0,1983-02-01T00:00:00Z,1983.084932,414219600,339.48,0.06,28,-89.98,-24.8,2823.5,2810,13.5,...
SPO,1983,3,1,0,0,0,1983-03-01T00:00:00Z,1983.161644,416638800,339.55,0.06,31,-89.98,-24.8,2823.5,2810,13.5,...
SPO,1983,4,1,0,0,0,1983-04-01T00:00:00Z,1983.246575,419317200,339.91,0.12,28,-89.98,-24.8,2823.5,2810,13.5,...
SPO,1983,5,1,0,0,0,1983-05-01T00:00:00Z,1983.328767,421909200,-999.99,-99.99,0,-89.98,-24.8,2800.1,2810,-9.9,*..
SPO,1983,6,1,0,0,0,1983-06-01T00:00:00Z,1983.413699,424587600,341.07,0.05,13,-89.98,-24.8,2823.5,2810,13.5,...
SPO,1983,7,1,0,0,0,1983-07-01T00:00:00Z,1983.49589,427179600,341.3,0.16,30,-89.98,-24.8,2823.5,2810,13.5,...
SPO,1983,8,1,0,0,0,1983-08-01T00:00:00Z,1983.580822,429858000,342.01,0.17,31,-89.98,-24.8,2823.5,2810,13.5,...
SPO,1983,9,1,0,0,0,1983-09-01T00:00:00Z,1983.665753,432536400,342.17,0.06,30,-89.98,-24.8,2823.5,2810,13.5,...
SPO,1983,10,1,0,0,0,1983-10-01T00:00:00Z,1983.747945,435128400,342.38,0.13,31,-89.98,-24.8,2823.5,2810,13.5,...
SPO,1983,11,1,0,0,0,1983-11-01T00:00:00Z,1983.832877,437806800,342.45,0.07,30,-89.98,-24.8,2823.5,2810,13.5,...
SPO,1983,12,1,0,0,0,1983-12-01T00:00:00Z,1983.915068,440398800,342.26,0.09,26,-89.98,-24.8,2823.5,2810,13.5,...
SPO,1984,1,1,0,0,0,1984-01-01T00:00:00Z,1984,443077200,342.39,0.14,29,-89.98,-24.8,2823.5,2810,13.5,...
